"model","forecast_date","target","horizon","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"KyloRen",2021-12-15,"DAX","5 day",-4.18576875696272,-0.758672013041956,0.180563591415151,1.15202885638487,3.801710952923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"KyloRen",2021-12-15,"DAX","6 day",-4.78978465875519,-0.867204189185489,0.245757033947614,1.33184638473018,4.35188035236526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"KyloRen",2021-12-15,"DAX","7 day",-5.24361215814961,-0.876343803347503,0.371591123469321,1.46880393729389,4.80240298771621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ObiWanKenobi",2021-12-15,"DAX","1 day",-2.38238960870636,-0.405999759432375,0.100829702274451,0.644572791632276,2.30096719133264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ObiWanKenobi",2021-12-15,"DAX","2 day",-2.92099571767907,-0.462643834272424,0.147795646849059,0.771447120340613,2.66077878991242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ObiWanKenobi",2021-12-15,"DAX","5 day",-3.54073012777005,-0.803366699670585,0.0284461347297164,0.860365631929201,2.62842916082095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ObiWanKenobi",2021-12-15,"DAX","6 day",-3.74361931166136,-0.817787251743633,0.0694265223528451,0.869140346919457,2.62092321873291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ObiWanKenobi",2021-12-15,"DAX","7 day",-4.42901348455064,-0.971658862966932,0.0794641392960969,1.1157720357866,3.36950573748855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"PhoebeBuffay",2021-12-15,"DAX","1 day",-2.51740641051231,-0.725632157202764,0.0241816518238974,0.628317076821728,2.05312688541556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"PhoebeBuffay",2021-12-15,"DAX","2 day",-3.39722422921906,-0.953818365912489,0.122847846053683,0.917248144534887,2.86782901673012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"PhoebeBuffay",2021-12-15,"DAX","5 day",-4.47254778975351,-1.09425581870289,0.153044790981825,1.20751884967047,3.2464063651896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"PhoebeBuffay",2021-12-15,"DAX","6 day",-5.02381379451004,-1.34771356442898,0.212653806567757,1.47143456015763,3.87042696605459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"PhoebeBuffay",2021-12-15,"DAX","7 day",-5.21905732715292,-1.45024061512202,0.319354038511074,1.71239814102834,3.99064106352012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"SamwellTarly",2021-12-15,"DAX","1 day",-1.54804267115203,-0.289808632400676,0.125014939381536,0.572722592136447,1.58173351793899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"SamwellTarly",2021-12-15,"DAX","2 day",-1.77020522880998,-0.431753447680928,0.077470617164409,0.61873159838415,1.95936167156148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"SamwellTarly",2021-12-15,"DAX","5 day",-3.3566573911692,-0.914102698219581,-0.199276092629122,0.511363069218473,2.15080943688154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"SamwellTarly",2021-12-15,"DAX","6 day",-3.37757735391741,-1.01330313322668,-0.197801573716199,0.600712213783855,2.32418166209532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"SamwellTarly",2021-12-15,"DAX","7 day",-3.11880109269742,-0.557905160711504,0.381036056771594,1.1838209267558,2.94449657025168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Shaggydog",2021-12-15,"DAX","1 day",-3.09709597742077,-0.779917379981196,-0.12085776007647,0.64499237984972,2.50925216941058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Shaggydog",2021-12-15,"DAX","2 day",-5.11748871535152,-1.08824927971003,0.157482318955642,1.19169948467968,3.56329917705395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Shaggydog",2021-12-15,"DAX","5 day",-6.05227121681222,-1.26858658207046,0.224520872221452,1.4901583185766,4.34107632219322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Shaggydog",2021-12-15,"DAX","6 day",-7.00546289895824,-1.71104884386427,0.320346884772699,1.71658400424341,4.52401846618206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Shaggydog",2021-12-15,"DAX","7 day",-7.69365473278493,-1.80613652122554,0.305959087466184,1.63642988556795,5.21289877497397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"UglyNakedGuy",2021-12-15,"DAX","1 day",-0.931360458431231,0.650603943996039,1.12952856958039,1.64268703717448,2.67980543580456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"UglyNakedGuy",2021-12-15,"DAX","2 day",-1.93543713735188,0.442656625551351,1.17537769628435,1.95980174522862,3.3969706010328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"UglyNakedGuy",2021-12-15,"DAX","5 day",-2.63690454825512,0.259778130946544,1.32038243986631,2.05737775469749,3.92453869731842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"UglyNakedGuy",2021-12-15,"DAX","6 day",-3.41949190790153,-0.112132662754735,1.1371317914907,2.24732537208659,4.30121967065205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"UglyNakedGuy",2021-12-15,"DAX","7 day",-3.89901180245435,-0.319828950455256,1.28254992444391,2.35283344026755,4.5766083183061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Yoda",2021-12-15,"DAX","1 day",-2.39026988462281,-0.616747350907361,0.00387775108430312,0.605532600813215,1.97579906500853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Yoda",2021-12-15,"DAX","2 day",-3.39236396906067,-0.869010505713598,0.0480785937438122,0.887200143495212,2.99334446281109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Yoda",2021-12-15,"DAX","5 day",-4.95159843609696,-0.908518840079198,0.0975831488415478,1.15727939027042,3.5514555845594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Yoda",2021-12-15,"DAX","6 day",-5.71441597915516,-1.08122098199822,0.123465453194571,1.30582225251141,4.03995928268859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Yoda",2021-12-15,"DAX","7 day",-6.40632045838984,-0.920873088987109,0.356303009099342,1.48642639551497,4.50422883947833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"AryaStark",2021-12-15,"wind","36 hour",9.36,12.96,13.68,15.84,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Bronn",2021-12-15,"wind","36 hour",8.90950537152506,12.9847323718975,15.1230271633983,17.2613238217304,21.3365915360542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ChandlerBing",2021-12-15,"wind","36 hour",7.23019986381406,12.3216513519729,14.9931415698505,17.6646317877282,22.756083275887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"DexterJettster",2021-12-15,"wind","36 hour",8.90950537152506,12.9847323718975,15.1230271633983,17.2613238217304,21.3365915360542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"DougJudy",2021-12-15,"wind","36 hour",8.85730926553915,14.21476465121,17.0258274078369,19.8368901644638,25.1943455501347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"GeneralGrievous",2021-12-15,"wind","36 hour",10.78,15.07,16.72,18.37,22.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"GinaLinetti",2021-12-15,"wind","36 hour",10.14375,11.055,12.57,13.545,14.2215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"HanSolo",2021-12-15,"wind","36 hour",10.8156679099439,14.7386980085589,16.2732450586909,17.5922917417088,21.6006363767885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"HotPie",2021-12-15,"wind","36 hour",7.60871525760941,12.7755803045616,15.8222004456351,18.2304600553146,21.926053292228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Joey",2021-12-15,"wind","36 hour",12.2584875766228,13.3183049669795,15.4337647060241,17.1034972132589,19.0820453123474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Joffrey_Baratheon",2021-12-15,"wind","36 hour",8.90950537152506,12.9847323718975,15.1230271633983,17.2613238217304,21.3365915360542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"KyloRen",2021-12-15,"wind","36 hour",8.581877675,13.5426985,16.062797,18.558158,23.318271925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ObiWanKenobi",2021-12-15,"wind","36 hour",11.16,13.32,15.12,17.28,21.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"PhoebeBuffay",2021-12-15,"wind","36 hour",8.98754620466256,13.1317504990965,15.155407568053,17.3859548347452,21.9565733855173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"SamwellTarly",2021-12-15,"wind","36 hour",8.18216666666667,9.67532906577692,10.7197732432868,11.8117629898014,14.2365942091733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Shaggydog",2021-12-15,"wind","36 hour",8.74831596214667,12.8693844450539,15.0317418643459,17.1941021047955,21.3152321142037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"UglyNakedGuy",2021-12-15,"wind","36 hour",8.8392802988448,13.0427747789288,15.0784532614188,17.1060173075981,21.8838987323736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"wind_benchmark",2021-12-15,"wind","36 hour",10.14375,11.055,12.57,13.545,14.2215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"wind_EMOS",2021-12-15,"wind","36 hour",8.90950537152506,12.9847323718975,15.1230271633983,17.2613238217304,21.3365915360542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Yoda",2021-12-15,"wind","36 hour",8.90950537152506,12.9847323718975,15.1230271633983,17.2613238217304,21.3365915360542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"AryaStark",2021-12-15,"wind","48 hour",8.451,13.23,15.12,18.81,25.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Bronn",2021-12-15,"wind","48 hour",6.41573484011716,11.5833824564172,14.2998182082176,17.0167519002576,22.1952242762163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ChandlerBing",2021-12-15,"wind","48 hour",4.72449529009819,10.6329739830951,13.7331592775224,16.8333445719496,22.7418232649465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"DexterJettster",2021-12-15,"wind","48 hour",6.41573484011716,11.5833824564172,14.2998182082176,17.0167519002576,22.1952242762163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"DougJudy",2021-12-15,"wind","48 hour",8.46366318767238,13.7125434094649,16.4666366577148,19.2207299059648,24.4696101277573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"GeneralGrievous",2021-12-15,"wind","48 hour",14.93,16.7,17.38,18.05,19.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"GinaLinetti",2021-12-15,"wind","48 hour",8.42775,10.0675,11.495,13.2525,15.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"HanSolo",2021-12-15,"wind","48 hour",9.42871598713912,13.9552895960404,15.8333980815247,17.6416142025298,23.4753753551838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"HotPie",2021-12-15,"wind","48 hour",7.90633942581174,13.270468270078,15.8493453604413,18.0706914162561,23.8548335546338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Joey",2021-12-15,"wind","48 hour",7.51403935274176,11.8410815455414,13.9378598387593,15.8444230859827,19.4035171446472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Joffrey_Baratheon",2021-12-15,"wind","48 hour",6.41573484011714,11.5833824564171,14.2998182082176,17.0167519002577,22.1952242762163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"KyloRen",2021-12-15,"wind","48 hour",5.840179475,11.87799025,14.318185,16.71142925,21.027474375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"ObiWanKenobi",2021-12-15,"wind","48 hour",6.84,10.44,14.04,16.2,21.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"PhoebeBuffay",2021-12-15,"wind","48 hour",6.93540820878654,11.7279267075509,14.4208122365873,17.4034130950021,24.7706849317789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"SamwellTarly",2021-12-15,"wind","48 hour",7.32103202540801,9.35583333333334,10.4955560586607,11.4722623146137,13.0959798515817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Shaggydog",2021-12-15,"wind","48 hour",6.23610603374964,11.3732520442235,14.0743799239706,16.7760758861282,21.9255656232639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"UglyNakedGuy",2021-12-15,"wind","48 hour",7.00776425497344,12.0407503914087,14.3993423031512,17.2692359146696,23.2165042203349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"wind_benchmark",2021-12-15,"wind","48 hour",8.42775,10.0675,11.495,13.2525,15.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"wind_EMOS",2021-12-15,"wind","48 hour",6.41573484011715,11.5833824564172,14.2998182082176,17.0167519002577,22.1952242762163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Yoda",2021-12-15,"wind","48 hour",6.41573484011716,11.5833824564172,14.2998182082176,17.0167519002576,22.1952242762163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
