"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95"
"Joey","DAX","2 day",2021-10-27,-1.90723612896626,-0.833823563622223,-0.311711535970075,0.230696926188521,1.36547641682524,-0.108554031691455,0.0899341048637404,0.362634765965384,0.203157504278621,0.169625478939988,0.0737015224258346,0.179810675294714,0.203157504278621,TRUE,TRUE
"GeneralGrievous","DAX","2 day",2021-10-27,-3.12432760547466,-1.07630760227304,-0.00170924514532089,1.07288911198239,3.12090911518401,-0.108554031691455,0.15078867868916,0.48387678529079,0.106844786546134,0.590721571836924,0.161473157343774,0.298740995941356,0.106844786546134,TRUE,TRUE
"AryaStark","DAX","2 day",2021-10-27,-3.3710966048753,-0.640897037233895,0.106737183497488,0.744678064058019,2.60107685011381,-0.108554031691455,0.163127128659192,0.26617150277122,0.215291215188943,0.426616047874737,0.135481544090263,0.241337487716871,0.215291215188943,TRUE,TRUE
"Bronn","DAX","2 day",2021-10-27,-5.17122273592671,-1.06740719026068,0.233572105031543,1.41928175841661,4.56120573496408,-0.108554031691455,0.253133435211763,0.479426579284613,0.342126136722998,0.763917895054032,0.233487988332777,0.414418406921236,0.342126136722998,TRUE,TRUE
"Joffrey_Baratheon","DAX","2 day",2021-10-27,-4.00329382,-0.77293557,0.13687453,0.87872277,3.13161398,-0.108554031691455,0.194736989415427,0.332190769154273,0.245428561691455,0.493638400845727,0.162008400584573,0.285600624338291,0.245428561691455,TRUE,TRUE
"CaptainRaymondHolt","DAX","2 day",2021-10-27,-3.36183177792302,-0.519900718291844,0.136779869802872,0.951792000920904,3.32131917213542,-0.108554031691455,0.162663887311578,0.205673343300194,0.245333901494327,0.530173016306179,0.171493660191344,0.263067561720724,0.245333901494327,TRUE,TRUE
"JabbaTheHutt","DAX","2 day",2021-10-27,-3.22794,-0.51739,0.1275,0.90463,2.81987,-0.108554031691455,0.155969298415427,0.204417984154273,0.236054031691455,0.506592015845727,0.146421201584573,0.249890906338291,0.236054031691455,TRUE,TRUE
"DougJudy","DAX","2 day",2021-10-27,-2.84342335676294,-0.828558925291169,0.228642666739119,1.28584425876941,3.30070869024117,-0.108554031691455,0.136743466253574,0.360002446799857,0.337196698430574,0.697199145230431,0.170463136096632,0.340320978562213,0.337196698430574,TRUE,TRUE
"GinaLinetti","DAX","2 day",2021-10-27,-1.092,-0.968,-0.849,-0.755,-0.485,-0.108554031691455,0.0491722984154273,0.429722984154273,0.740445968308545,0.969668952462818,0.734069638201663,0.584615968308545,0.740445968308545,FALSE,FALSE
"HanSolo","DAX","2 day",2021-10-27,-2.31970142283344,-0.950493729468314,0.137721370416931,0.860541184182806,2.41587374311219,-0.108554031691455,0.110557369557099,0.42096984888843,0.246275402108385,0.48454760793713,0.126221388740182,0.277714323446245,0.246275402108385,TRUE,TRUE
"ChandlerBing","DAX","2 day",2021-10-27,-2.83635097797759,-0.422442731852849,0.317518169673101,1.10168090394734,2.97788949022779,-0.108554031691455,0.136389847314307,0.156944350080697,0.426072201364555,0.605117467819399,0.154322176095963,0.295769208534984,0.426072201364555,TRUE,TRUE
"DexterJettster","DAX","2 day",2021-10-27,-1.89737100520356,-0.447922085649877,0.0894760728813893,0.668424142305879,2.27868649322914,-0.108554031691455,0.0894408486756053,0.169684026979211,0.198030104572844,0.388489086998667,0.11936202624603,0.193001218694471,0.198030104572844,TRUE,TRUE
"Shaggydog","DAX","2 day",2021-10-27,-3.05888370985811,-0.780727474610198,0.228817904496658,1.15029084475558,3.23339653034922,-0.108554031691455,0.147516483908333,0.336086721459372,0.337371936188113,0.629422438223518,0.167097528102034,0.323499021576274,0.337371936188113,TRUE,TRUE
"mean_ensemble","DAX","2 day",2021-10-27,-2.69703966960415,-0.670924449940648,0.0718408963833682,0.766927532141702,2.43206407024992,-0.108554031691455,0.129424281895635,0.281185209124597,0.180394928074823,0.437740781916578,0.127030905097069,0.23115522122174,0.180394928074823,TRUE,TRUE
"HotPie","DAX","2 day",2021-10-27,-2.2791612682349,-0.73373560444203,0.374039076620466,1.11770303605243,2.31843281447169,-0.108554031691455,0.108530361827172,0.312590786375288,0.482593108311921,0.613128533871942,0.121349342308157,0.327638426538896,0.482593108311921,TRUE,TRUE
"ObiWanKenobi","DAX","2 day",2021-10-27,-1.91351040733329,-0.514475099282468,0.0520523090183101,0.649053276374589,1.84219918831838,-0.108554031691455,0.0902478187820918,0.202960533795507,0.160606340709765,0.378803654033022,0.0975376610004918,0.186031201664175,0.160606340709765,TRUE,TRUE
"RossGeller","DAX","2 day",2021-10-27,-3.49987305106712,-0.651073251435914,0.138706412269978,0.843904970225763,2.69467833875079,-0.108554031691455,0.169565950968783,0.27125960987223,0.247260443961433,0.476229500958609,0.140161618522112,0.260895424856633,0.247260443961433,TRUE,TRUE
"UglyNakedGuy","DAX","2 day",2021-10-27,-1.99839277093688,-0.52637452441627,-0.0178380036473744,0.490698517121522,1.96271676364213,-0.108554031691455,0.0944919369622713,0.208910246362408,0.0907160280440802,0.299626274406488,0.103563539766679,0.159461605108385,0.0907160280440802,TRUE,TRUE
"median_ensemble","DAX","2 day",2021-10-27,-2.69703966960415,-0.670924449940648,0.0718408963833682,0.766927532141702,2.43206407024992,-0.108554031691455,0.129424281895635,0.281185209124597,0.180394928074823,0.437740781916578,0.127030905097069,0.23115522122174,0.180394928074823,TRUE,TRUE
"PhoebeBuffay","DAX","2 day",2021-10-27,-2.59792929372349,-0.512496917816015,0.170611274299804,0.842411487723719,2.08192127127644,-0.108554031691455,0.124468763101602,0.20197144306228,0.279165305991259,0.475482759707587,0.109523765148395,0.238122407402224,0.279165305991259,TRUE,TRUE
"KyloRen","DAX","2 day",2021-10-27,-3.41064779530995,-0.649023876005282,0.136733267963114,0.872633270065117,3.06960422542087,-0.108554031691455,0.165104688180925,0.270234922156914,0.245287299654569,0.490593650878286,0.158907912855616,0.266025694745262,0.245287299654569,TRUE,TRUE
"Yoda","DAX","2 day",2021-10-27,-2.65996596757019,-0.45030968608882,0.12944997193613,0.76741197434442,2.87025867359382,-0.108554031691455,0.127570596793937,0.170877827198683,0.238004003627585,0.437983003017937,0.148940635264264,0.224675213180481,0.238004003627585,TRUE,TRUE
"AryaStark","DAX","5 day",2021-10-27,-4.05715318864929,-0.789088776371207,0.134027969870303,0.986282943361018,3.0749529018206,0.637728433138562,0.234744081089393,0.713408604754885,0.503700463268259,0.174277255111228,0.121861223434102,0.349598325531573,0.503700463268259,TRUE,TRUE
"CaptainRaymondHolt","DAX","5 day",2021-10-27,-4.12592230029535,-0.658471772774938,0.215247909197736,1.25889907563845,4.33355312025465,0.637728433138562,0.238182536671696,0.64810010295675,0.422480523940827,0.310585321249945,0.184791234355805,0.360827943835005,0.422480523940827,TRUE,TRUE
